course,specialization,interests,skills,combined,course_spec,career
b.tech,production engineering,financial analysis;technology;supply chain analysis;data analytics;data scientist,designing skills;python,b.tech production engineering financial analysis;technology;supply chain analysis;data analytics;data scientist designing skills;python,b.tech production engineering,engineer
b.tech,transportation engineering,"govt. job;agriculture, services;construction manegement;excel",designing skills;writing skills;cad/cae(autocad/catia/ansys/proe/seimensnx);construction management,"b.tech transportation engineering govt. job;agriculture, services;construction manegement;excel designing skills;writing skills;cad/cae(autocad/catia/ansys/proe/seimensnx);construction management",b.tech transportation engineering,engineer
b.tech,automobile engineering,technology,"work under pressure, leadership, team work, excel, interpersonal skills, presentation skills, problem solving skills, mass communication, writing, risk managing, reporting, reading, designing skills","b.tech automobile engineering technology work under pressure, leadership, team work, excel, interpersonal skills, presentation skills, problem solving skills, mass communication, writing, risk managing, reporting, reading, designing skills",b.tech automobile engineering,automobile engineer
b.tech,computer science engineering,"data scientist,web development,social causes,all fields related to data science.machine learning","c;javascript;data structure;css; jquery ;angular js ;javascript; html5 ;css3;
ssis; ssms; python; react.js ;java enterprise edition","b.tech computer science engineering data scientist,web development,social causes,all fields related to data science.machine learning c;javascript;data structure;css; jquery ;angular js ;javascript; html5 ;css3;
ssis; ssms; python; react.js ;java enterprise edition",b.tech computer science engineering,software engineer
mca,computer application,technology,programming language skills;critical thinking;leadership,mca computer application technology programming language skills;critical thinking;leadership,mca computer application,software engineer
b.tech,computer science engineering,"data scientist,web development,social causes,all fields related to data science,machine learning",css;c++;javascript;mysql;java;sql;cascading style sheets (css);website development;jquery;html5;linux;ajax;software development;xml;cakephp;codeigniter;laravel;symfony;symfony framework;git;angular command line interface (cli);yii2,"b.tech computer science engineering data scientist,web development,social causes,all fields related to data science,machine learning css;c++;javascript;mysql;java;sql;cascading style sheets (css);website development;jquery;html5;linux;ajax;software development;xml;cakephp;codeigniter;laravel;symfony;symfony framework;git;angular command line interface (cli);yii2",b.tech computer science engineering,software engineer
bca,java,information technology,communication skills;writing skills;c++,bca java information technology communication skills;writing skills;c++,bca java,other
b.sc,physics,news coverage;research;sales/marketing;social justice;teaching,gathering information;artistic/creative skills;analytical skills;communication skills,b.sc physics news coverage;research;sales/marketing;social justice;teaching gathering information;artistic/creative skills;analytical skills;communication skills,b.sc physics,research scientist
b.tech,electronics and communication engineering,"research, technology","python, sql","b.tech electronics and communication engineering research, technology python, sql",b.tech electronics and communication engineering,electronics and communication engineer
b.tech,electronics and communication,data analytics;social media marketing,gathering information;artistic/creative skills;business knowledge;analytical skills;problem solving skills;writing skills;presentation skills;good communication skills,b.tech electronics and communication data analytics;social media marketing gathering information;artistic/creative skills;business knowledge;analytical skills;problem solving skills;writing skills;presentation skills;good communication skills,b.tech electronics and communication,electronics and communication engineer
b.tech,civil,construction;construction manegement,"proeficiency in software like staad pro, etabs","b.tech civil construction;construction manegement proeficiency in software like staad pro, etabs",b.tech civil,civil engineer
b.tech,mechanical engineering,data science and artificial intelligence,"ml, python, analytic thinking, business knowledge, leadership, team work, excel, r, problem solving skills, data science completed by using python and r","b.tech mechanical engineering data science and artificial intelligence ml, python, analytic thinking, business knowledge, leadership, team work, excel, r, problem solving skills, data science completed by using python and r",b.tech mechanical engineering,mechanical engineer
b.tech,b.e complete,sales/marketing;understand human body;web designing;govt. job;gardening;design,active listening;programming language skills;gathering information;artistic/creative skills;business knowledge;people management;communication skills;negotiation skills;leadership;problem solving skills;risk management skills;designing skills;writing skills;interpersonal skills;c++;presentation skills;programming language c,b.tech b.e complete sales/marketing;understand human body;web designing;govt. job;gardening;design active listening;programming language skills;gathering information;artistic/creative skills;business knowledge;people management;communication skills;negotiation skills;leadership;problem solving skills;risk management skills;designing skills;writing skills;interpersonal skills;c++;presentation skills;programming language c,b.tech b.e complete,other
be,electronics and communication engineering,technology;data analytics;data scientist;all fields related to data science.,programming language skills;machine learning skills;linux;python;artificial intelligence;sql,be electronics and communication engineering technology;data analytics;data scientist;all fields related to data science. programming language skills;machine learning skills;linux;python;artificial intelligence;sql,be electronics and communication engineering,electronics and communication engineer
b.tech,engineering,"news coverage, technology","critical thinking, analytic thinking, gathering informing, negotiation skills, work under pressure, team work, excel, logical skills, problem solving skills","b.tech engineering news coverage, technology critical thinking, analytic thinking, gathering informing, negotiation skills, work under pressure, team work, excel, logical skills, problem solving skills",b.tech engineering,engineer
be,computer science engineering,technology;content writing;web development,programming language skills;business knowledge;communication skills;problem solving skills,be computer science engineering technology;content writing;web development programming language skills;business knowledge;communication skills;problem solving skills,be computer science engineering,software engineer
b.tech,mechanical engineering,web designing,communication skills;leadership;problem solving skills;java,b.tech mechanical engineering web designing communication skills;leadership;problem solving skills;java,b.tech mechanical engineering,mechanical engineer
be,mechanical engineering,technology;data scientist;web development,programming language skills;communication skills;sql;java,be mechanical engineering technology;data scientist;web development programming language skills;communication skills;sql;java,be mechanical engineering,engineer
b.tech,history,trading,"java, programming","b.tech history trading java, programming",b.tech history,teacher
b.tech,computer science engineering,technology;trading;data scientist,programming language skills;critical thinking;gathering information;analytical skills;communication skills;problem solving skills;sql,b.tech computer science engineering technology;trading;data scientist programming language skills;critical thinking;gathering information;analytical skills;communication skills;problem solving skills;sql,b.tech computer science engineering,software engineer
b.tech,electronics and communication engineering,technology,programming language skills;critical thinking;communication skills;problem solving skills;risk management skills;c++;presentation skills;linux;cloud computing,b.tech electronics and communication engineering technology programming language skills;critical thinking;communication skills;problem solving skills;risk management skills;c++;presentation skills;linux;cloud computing,b.tech electronics and communication engineering,electronics and communication engineer
bba,physics,teaching,civil & criminal law,bba physics teaching civil & criminal law,bba physics,research scientist
be,automobile engineering,research;teaching;technology;understand human behaviour;understand human body;data analytics;game industry;data scientist,active listening;critical thinking;gathering information;artistic/creative skills;business knowledge;analytical skills;people management;communication skills;negotiation skills;leadership;problem solving skills;data visualization skills( power bi/ tableau );machine learning skills;presentation skills;python,be automobile engineering research;teaching;technology;understand human behaviour;understand human body;data analytics;game industry;data scientist active listening;critical thinking;gathering information;artistic/creative skills;business knowledge;analytical skills;people management;communication skills;negotiation skills;leadership;problem solving skills;data visualization skills( power bi/ tableau );machine learning skills;presentation skills;python,be automobile engineering,automobile engineer
b.sc,computer science,technology;web designing;data analytics;digital marketing;data scientist;web development;social media marketing,active listening;critical thinking;artistic/creative skills;analytical skills;communication skills;linux;python;sql,b.sc computer science technology;web designing;data analytics;digital marketing;data scientist;web development;social media marketing active listening;critical thinking;artistic/creative skills;analytical skills;communication skills;linux;python;sql,b.sc computer science,data analyst
b.com,accounts,financial analysis;understand human behaviour;content writing;data analytics;data scientist,accounting skills;active listening;critical thinking;gathering information;business knowledge;analytical skills;finance related skills;problem solving skills;data visualization skills( power bi/ tableau );machine learning skills;presentation skills;python;sql;good communication skills,b.com accounts financial analysis;understand human behaviour;content writing;data analytics;data scientist accounting skills;active listening;critical thinking;gathering information;business knowledge;analytical skills;finance related skills;problem solving skills;data visualization skills( power bi/ tableau );machine learning skills;presentation skills;python;sql;good communication skills,b.com accounts,accountant
b.e,automobile engineering,technology,"java, sql, programming, communication skills, team work, presentation skills","b.e automobile engineering technology java, sql, programming, communication skills, team work, presentation skills",b.e automobile engineering,automobile engineer
b.e,information technology,"research, social justice, understand human body","writing, reading","b.e information technology research, social justice, understand human body writing, reading",b.e information technology,software engineer
b.tech,electrical and electronics engineering,"financial analysis, technology, entrepreneurship","ml, python, business knowledge, java, linux, aws","b.tech electrical and electronics engineering financial analysis, technology, entrepreneurship ml, python, business knowledge, java, linux, aws",b.tech electrical and electronics engineering,engineer
b.tech,computer science engineering,mobile app development,php;programming language c;javascript,b.tech computer science engineering mobile app development php;programming language c;javascript,b.tech computer science engineering,software engineer
b.sc,zbc,govt. job,artistic/creative skills;leadership;content creation,b.sc zbc govt. job artistic/creative skills;leadership;content creation,b.sc zbc,other
ba,english,information technology,programming language skills,ba english information technology programming language skills,ba english,content writer
bca,computer applications,teaching;technology;web designing;content writing,active listening;programming language skills;gathering information;communication skills;leadership;problem solving skills;risk management skills;writing skills;data visualization skills( power bi/ tableau );c++;sql;content creation;medical knowledge;java;cloud computing,bca computer applications teaching;technology;web designing;content writing active listening;programming language skills;gathering information;communication skills;leadership;problem solving skills;risk management skills;writing skills;data visualization skills( power bi/ tableau );c++;sql;content creation;medical knowledge;java;cloud computing,bca computer applications,software developer
b.pharmacy,zoology,understand human body,excel,b.pharmacy zoology understand human body excel,b.pharmacy zoology,biologist
be,mechanical,service,accounting skills;active listening;hardware skills;sales;social media marketing;hr,be mechanical service accounting skills;active listening;hardware skills;sales;social media marketing;hr,be mechanical,mechanical engineer
be,mechanical engineering,technology,critical thinking;communication skills;sap,be mechanical engineering technology critical thinking;communication skills;sap,be mechanical engineering,engineer
b.com,costing,financial analysis,accounting skills;finance related skills,b.com costing financial analysis accounting skills;finance related skills,b.com costing,other
be,automobile engineering,"sales/marketing, entrepreneurship","python, people management, communication skills, work under pressure, leadership, creativity skills, team work","be automobile engineering sales/marketing, entrepreneurship python, people management, communication skills, work under pressure, leadership, creativity skills, team work",be automobile engineering,automobile engineer
b.com,commerce,home interior design,artistic/creative skills,b.com commerce home interior design artistic/creative skills,b.com commerce,accountant
be,automobile engineering,industires;machine learning;automotive textile machineryâ€™s,technical machine fitter,be automobile engineering industires;machine learning;automotive textile machineryâ€™s technical machine fitter,be automobile engineering,automobile engineer
be,electrical and electronics engineering,govt. job,python,be electrical and electronics engineering govt. job python,be electrical and electronics engineering,engineer
b.tech,electronics & telecommunications,"all fields related to data science,machine learning",c#;.net framework;python ;c ;transact-sql (t-sql),"b.tech electronics & telecommunications all fields related to data science,machine learning c#;.net framework;python ;c ;transact-sql (t-sql)",b.tech electronics & telecommunications,telecom engineer
b.tech,electrical and electronics engineering,data analytics,no,b.tech electrical and electronics engineering data analytics no,b.tech electrical and electronics engineering,engineer
b.com,commerce,financial analysis,"accounting skills, critical thinking, analytic thinking, business knowledge, work under pressure, leadership, product knowledge, creativity skills, team work, excel, logical skills, interpersonal skills, presentation skills, problem solving skills, risk managing, reporting","b.com commerce financial analysis accounting skills, critical thinking, analytic thinking, business knowledge, work under pressure, leadership, product knowledge, creativity skills, team work, excel, logical skills, interpersonal skills, presentation skills, problem solving skills, risk managing, reporting",b.com commerce,accountant
b.tech,programming,"technology,trading","active listening, programming, work under pressure, teamwork,excel,logical skills interpersonal skills, presentation skills, reading","b.tech programming technology,trading active listening, programming, work under pressure, teamwork,excel,logical skills interpersonal skills, presentation skills, reading",b.tech programming,other
bba,civil engineering,financial analysis;sales/marketing;data analytics,accounting skills;communication skills;negotiation skills;editing;wealth management;presentation skills,bba civil engineering financial analysis;sales/marketing;data analytics accounting skills;communication skills;negotiation skills;editing;wealth management;presentation skills,bba civil engineering,engineer
b.tech,finance,technology,"ml, python, sql","b.tech finance technology ml, python, sql",b.tech finance,financial analyst
b.e,computer science engineering,"take risk for profits, technology, trading, entrepreneurship","active listening, analytic thinking, business knowledge, work under pressure, team work, presentation skills, writing, observation skills, risk managing, reading, subject knowledge","b.e computer science engineering take risk for profits, technology, trading, entrepreneurship active listening, analytic thinking, business knowledge, work under pressure, team work, presentation skills, writing, observation skills, risk managing, reading, subject knowledge",b.e computer science engineering,software engineer
b.tech,automobile engineering,data analytics;data scientist;all fields related to data science.,data visualization skills( power bi/ tableau );python;artificial intelligence;sql,b.tech automobile engineering data analytics;data scientist;all fields related to data science. data visualization skills( power bi/ tableau );python;artificial intelligence;sql,b.tech automobile engineering,automobile engineer
bca,information technology,data scientist,programming language skills;analytical skills;communication skills;problem solving skills;data visualization skills( power bi/ tableau );python;sql;good communication skills,bca information technology data scientist programming language skills;analytical skills;communication skills;problem solving skills;data visualization skills( power bi/ tableau );python;sql;good communication skills,bca information technology,software engineer
b.tech,computer applications,digital marketing;data scientist;social media marketing,programming language skills;people management;designing skills;social media marketing;interpersonal skills;good communication skills,b.tech computer applications digital marketing;data scientist;social media marketing programming language skills;people management;designing skills;social media marketing;interpersonal skills;good communication skills,b.tech computer applications,software engineer
b.sc,statistics,data analytics,analytical skills;data visualization skills( power bi/ tableau );machine learning skills;python;sql,b.sc statistics data analytics analytical skills;data visualization skills( power bi/ tableau );machine learning skills;python;sql,b.sc statistics,data analyst
b.tech,computer science,technology;data analytics;data scientist;all fields related to data science.,critical thinking;communication skills;negotiation skills;python;good communication skills,b.tech computer science technology;data analytics;data scientist;all fields related to data science. critical thinking;communication skills;negotiation skills;python;good communication skills,b.tech computer science,software engineer
bca,biotechnalogy,sales/marketing;trading;retailer;market reserach;construction manegement;excel,business knowledge;product knowledge;problem solving skills;risk management skills;sales;client management,bca biotechnalogy sales/marketing;trading;retailer;market reserach;construction manegement;excel business knowledge;product knowledge;problem solving skills;risk management skills;sales;client management,bca biotechnalogy,other
b.tech,"computer ( languages like  .. c, c++ ,  java,  c# )",cloud computing,java enterprise edition;hibernate;zuul api gateway;spring cloud;apache zookeeper;amazon ec2;zoho;oracle crm;spring boot;spring mvc;docker;apache drill;angular,"b.tech computer ( languages like  .. c, c++ ,  java,  c# ) cloud computing java enterprise edition;hibernate;zuul api gateway;spring cloud;apache zookeeper;amazon ec2;zoho;oracle crm;spring boot;spring mvc;docker;apache drill;angular","b.tech computer ( languages like  .. c, c++ ,  java,  c# )",software engineer
b.com,computer science engineering,financial analysis,"accounting skills, business knowledge, negotiation skills, work under pressure, interpersonal skills","b.com computer science engineering financial analysis accounting skills, business knowledge, negotiation skills, work under pressure, interpersonal skills",b.com computer science engineering,software engineer
b.tech,commerce,technology,"python, java","b.tech commerce technology python, java",b.tech commerce,accountant
doctor,electronics and communication engineering,understand human body,writing skills;medical knowledge,doctor electronics and communication engineering understand human body writing skills;medical knowledge,doctor electronics and communication engineering,electronics and communication engineer
b.tech,dental surgeon,hardware,altium designer;printed circuit board (pcb) design;ni labview; digital electronics semiconductors;arduino;xilinx vivado;verilog;kicad;ni multisim;eagle pcb;electronic circuit design;altium circuitmaker;internet of things (iot);electronics hardware design;orcad capture cis;orcad,b.tech dental surgeon hardware altium designer;printed circuit board (pcb) design;ni labview; digital electronics semiconductors;arduino;xilinx vivado;verilog;kicad;ni multisim;eagle pcb;electronic circuit design;altium circuitmaker;internet of things (iot);electronics hardware design;orcad capture cis;orcad,b.tech dental surgeon,other
b.sc,electronics and communication engineering,understand human body;govt. job,medical knowledge;hospitality,b.sc electronics and communication engineering understand human body;govt. job medical knowledge;hospitality,b.sc electronics and communication engineering,electronics and communication engineer
b.tech,biology,technology;data analytics;data scientist,programming language skills;critical thinking;gathering information;business knowledge;analytical skills;product knowledge;problem solving skills;data visualization skills( power bi/ tableau );machine learning skills;sql,b.tech biology technology;data analytics;data scientist programming language skills;critical thinking;gathering information;business knowledge;analytical skills;product knowledge;problem solving skills;data visualization skills( power bi/ tableau );machine learning skills;sql,b.tech biology,biologist
ba,electronics and communication engineering,understand human behaviour;social causes,hr;good communication skills,ba electronics and communication engineering understand human behaviour;social causes hr;good communication skills,ba electronics and communication engineering,electronics and communication engineer
be,irpm,research,accounting skills;active listening;hardware skills;critical thinking;people management;communication skills;leadership;designing skills;writing skills,be irpm research accounting skills;active listening;hardware skills;critical thinking;people management;communication skills;leadership;designing skills;writing skills,be irpm,other
be,mathematics,production supervisor,people management;leadership;problem solving skills,be mathematics production supervisor people management;leadership;problem solving skills,be mathematics,data analyst
b.tech,mechanical engineering,technology;trading;data analytics;data scientist,programming language skills;analytical skills;c++;python;sql;java,b.tech mechanical engineering technology;trading;data analytics;data scientist programming language skills;analytical skills;c++;python;sql;java,b.tech mechanical engineering,mechanical engineer
b.tech,computer science engineering,"financial analysis, research, technology, understand human behaviour, understand human body","ai, ml, critical thinking, analytic thinking, civil & criminal law, work under pressure, leadership, problem solving skills","b.tech computer science engineering financial analysis, research, technology, understand human behaviour, understand human body ai, ml, critical thinking, analytic thinking, civil & criminal law, work under pressure, leadership, problem solving skills",b.tech computer science engineering,software engineer
b.sc,computer science engineering,technology,"python, programming, communication skills, leadership, c++, writing, observation skills","b.sc computer science engineering technology python, programming, communication skills, leadership, c++, writing, observation skills",b.sc computer science engineering,software engineer
b.tech,computer science engineering,cyber secuirty,ibm qradar;owasp;ethical hacking;threat & vulnerability management;splunk;vulnerability scanning;malware analysis;tenable nessus;epolicy orchestrator;metasploit;burp suite;security information and event management (siem);,b.tech computer science engineering cyber secuirty ibm qradar;owasp;ethical hacking;threat & vulnerability management;splunk;vulnerability scanning;malware analysis;tenable nessus;epolicy orchestrator;metasploit;burp suite;security information and event management (siem);,b.tech computer science engineering,software engineer
b.a.f,electronics & telecommunications,financial analysis,"accounting skills, active listening, cost accounting, market study, excel, logical skills, problem solving skills, writing, sales, building rapport","b.a.f electronics & telecommunications financial analysis accounting skills, active listening, cost accounting, market study, excel, logical skills, problem solving skills, writing, sales, building rapport",b.a.f electronics & telecommunications,telecom engineer
b.tech,accountancy,sales/marketing;digital marketing,active listening;critical thinking;business knowledge;content creation,b.tech accountancy sales/marketing;digital marketing active listening;critical thinking;business knowledge;content creation,b.tech accountancy,accountant
b.tech,mechanical engineering,data analytics;data scientist,programming language skills;critical thinking;analytical skills;communication skills;leadership;problem solving skills;data visualization skills( power bi/ tableau );machine learning skills;r;python;artificial intelligence,b.tech mechanical engineering data analytics;data scientist programming language skills;critical thinking;analytical skills;communication skills;leadership;problem solving skills;data visualization skills( power bi/ tableau );machine learning skills;r;python;artificial intelligence,b.tech mechanical engineering,mechanical engineer
b.tech,electronics and communication engineering,news coverage;technology,gathering information;business knowledge;analytical skills;people management;civil & criminal law;communication skills;negotiation skills;mass communication;leadership,b.tech electronics and communication engineering news coverage;technology gathering information;business knowledge;analytical skills;people management;civil & criminal law;communication skills;negotiation skills;mass communication;leadership,b.tech electronics and communication engineering,electronics and communication engineer
m.a,mathematics,teaching,"critical thinking, artistic skills, communication skills, editing, interpersonal skills, reporting, reading, subject knowledge","m.a mathematics teaching critical thinking, artistic skills, communication skills, editing, interpersonal skills, reporting, reading, subject knowledge",m.a mathematics,data analyst
b.com,psychology,trading,team work,b.com psychology trading team work,b.com psychology,psychologist
bba,accountancy,"news coverage, social justice","python, gathering informing, business knowledge","bba accountancy news coverage, social justice python, gathering informing, business knowledge",bba accountancy,accountant
b.tech,communication & political science,data analytics,no,b.tech communication & political science data analytics no,b.tech communication & political science,civil services aspirant
b.tech,computer science engineering,research,"editing, writing, observation skills, reading","b.tech computer science engineering research editing, writing, observation skills, reading",b.tech computer science engineering,software engineer
b.tech,history,research,"editing, writing, observation skills, reading","b.tech history research editing, writing, observation skills, reading",b.tech history,teacher
b.tech,history,software job,no,b.tech history software job no,b.tech history,teacher
b.sc,electrical and electronics engineering,"teaching, entrepreneurship","active listening, communication skills, leadership, creativity skills, presentation skills, problem solving skills, writing, tableau, reading, subject knowledge","b.sc electrical and electronics engineering teaching, entrepreneurship active listening, communication skills, leadership, creativity skills, presentation skills, problem solving skills, writing, tableau, reading, subject knowledge",b.sc electrical and electronics engineering,engineer
b.sc,computer science engineering,research;game industry;data scientist,programming language skills;business knowledge;analytical skills;communication skills;leadership;problem solving skills;data visualization skills( power bi/ tableau );machine learning skills;r;python;artificial intelligence;good communication skills,b.sc computer science engineering research;game industry;data scientist programming language skills;business knowledge;analytical skills;communication skills;leadership;problem solving skills;data visualization skills( power bi/ tableau );machine learning skills;r;python;artificial intelligence;good communication skills,b.sc computer science engineering,software engineer
be,statistics,teaching;web designing;data analytics;govt. job;data scientist;all fields related to data science.;sap consultant in mm;information technology;machine learning;automotive textile machineryâ€™s,active listening;hardware skills;programming language skills;critical thinking;gathering information;artistic/creative skills;business knowledge;communication skills;negotiation skills;leadership;problem solving skills;risk management skills;designing skills;writing skills;machine learning skills;wealth management;presentation skills;sap,be statistics teaching;web designing;data analytics;govt. job;data scientist;all fields related to data science.;sap consultant in mm;information technology;machine learning;automotive textile machineryâ€™s active listening;hardware skills;programming language skills;critical thinking;gathering information;artistic/creative skills;business knowledge;communication skills;negotiation skills;leadership;problem solving skills;risk management skills;designing skills;writing skills;machine learning skills;wealth management;presentation skills;sap,be statistics,data analyst
b.sc,mathematics,govt. job,accounting skills;programming language skills;editing;writing skills;python;hr;good communication skills,b.sc mathematics govt. job accounting skills;programming language skills;editing;writing skills;python;hr;good communication skills,b.sc mathematics,data analyst
bca,mathematics,information technology,sql;java;javascript,bca mathematics information technology sql;java;javascript,bca mathematics,data analyst
b.tech,computer applications,research;data analytics;data scientist,active listening;designing skills;python,b.tech computer applications research;data analytics;data scientist active listening;designing skills;python,b.tech computer applications,software engineer
be,mechanical engineering,news coverage;research;social justice;technology;trading;understand human behaviour;supply chain analysis;data analytics;digital marketing;data scientist;market reserach;social media marketing,data visualization skills( power bi/ tableau );python;sql;client management;good communication skills,be mechanical engineering news coverage;research;social justice;technology;trading;understand human behaviour;supply chain analysis;data analytics;digital marketing;data scientist;market reserach;social media marketing data visualization skills( power bi/ tableau );python;sql;client management;good communication skills,be mechanical engineering,engineer
be,mechanical engineering,sales/marketing;technology;supply chain analysis;govt. job;market reserach;infrastructure;design,accounting skills;finance related skills;people management;civil & criminal law,be mechanical engineering sales/marketing;technology;supply chain analysis;govt. job;market reserach;infrastructure;design accounting skills;finance related skills;people management;civil & criminal law,be mechanical engineering,engineer
b.tech,mechanical engineering,financial analysis,business analytics;risk analytics;sas;marketing management;market research;business strategy;commercialbanking;portfolio management;supply chain management;business process reengineering;consumer behaviour;long-term customer relationships;retail marketing;financial accounting;credit risk modeling;security analysis;working capital management;trategic marketing;investment banking;structured finance,b.tech mechanical engineering financial analysis business analytics;risk analytics;sas;marketing management;market research;business strategy;commercialbanking;portfolio management;supply chain management;business process reengineering;consumer behaviour;long-term customer relationships;retail marketing;financial accounting;credit risk modeling;security analysis;working capital management;trategic marketing;investment banking;structured finance,b.tech mechanical engineering,mechanical engineer
bba,computer science engineering,"financial analysis;sales/marketing;trading;supply chain analysis;data analytics;industires;blockchain;salesforce admin;agriculture, services;excel",accounting skills;hardware skills;critical thinking;analytical skills;finance related skills;people management;product knowledge,"bba computer science engineering financial analysis;sales/marketing;trading;supply chain analysis;data analytics;industires;blockchain;salesforce admin;agriculture, services;excel accounting skills;hardware skills;critical thinking;analytical skills;finance related skills;people management;product knowledge",bba computer science engineering,software engineer
b.tech,computer software engineer,technology,"critical thinking, analytic thinking, business knowledge, sql, programming, communication skills, work under pressure, editing, team work, excel, logical skills, interpersonal skills, presentation skills, tableau, building rapport","b.tech computer software engineer technology critical thinking, analytic thinking, business knowledge, sql, programming, communication skills, work under pressure, editing, team work, excel, logical skills, interpersonal skills, presentation skills, tableau, building rapport",b.tech computer software engineer,software engineer
b.com,mechanical engineering,financial analysis;news coverage;digital marketing,accounting skills;active listening;business knowledge;leadership;hr,b.com mechanical engineering financial analysis;news coverage;digital marketing accounting skills;active listening;business knowledge;leadership;hr,b.com mechanical engineering,engineer
ba,finance,content writing,artistic/creative skills;communication skills;mass communication;writing skills;content creation,ba finance content writing artistic/creative skills;communication skills;mass communication;writing skills;content creation,ba finance,financial analyst
bachelor of journalism,arts,news coverage;understand human behaviour;content writing;govt. job;social causes,critical thinking;gathering information;artistic/creative skills;communication skills;mass communication;editing;writing skills;content creation,bachelor of journalism arts news coverage;understand human behaviour;content writing;govt. job;social causes critical thinking;gathering information;artistic/creative skills;communication skills;mass communication;editing;writing skills;content creation,bachelor of journalism arts,other
master of journalism,journalism,news coverage;digital marketing,active listening;people management;communication skills;leadership;editing;social media marketing,master of journalism journalism news coverage;digital marketing active listening;people management;communication skills;leadership;editing;social media marketing,master of journalism journalism,journalist
b.com,arts,understand human behaviour,active listening;business knowledge;communication skills;product knowledge,b.com arts understand human behaviour active listening;business knowledge;communication skills;product knowledge,b.com arts,other
m.sc,accounts,technology,python,m.sc accounts technology python,m.sc accounts,accountant
b.tech,statistics,technology,"ai, ml, python, java","b.tech statistics technology ai, ml, python, java",b.tech statistics,data analyst
diploma,electronics and communication engineering,social media marketing;design,designing skills;machine learning skills;social media marketing,diploma electronics and communication engineering social media marketing;design designing skills;machine learning skills;social media marketing,diploma electronics and communication engineering,electronics and communication engineer
b.tech,mechanical engineering,research;technology;data analytics;data scientist,active listening;programming language skills;critical thinking;gathering information;artistic/creative skills;analytical skills;communication skills;problem solving skills;writing skills;data visualization skills( power bi/ tableau );machine learning skills;interpersonal skills;c++;python;sql;good communication skills,b.tech mechanical engineering research;technology;data analytics;data scientist active listening;programming language skills;critical thinking;gathering information;artistic/creative skills;analytical skills;communication skills;problem solving skills;writing skills;data visualization skills( power bi/ tableau );machine learning skills;interpersonal skills;c++;python;sql;good communication skills,b.tech mechanical engineering,mechanical engineer
be,mechanical engineering,sales/marketing;technology;product life cycle management,people management;leadership,be mechanical engineering sales/marketing;technology;product life cycle management people management;leadership,be mechanical engineering,engineer
be,mechanical engineering,supply chain analysis;product life cycle management,leadership;product knowledge;sales,be mechanical engineering supply chain analysis;product life cycle management leadership;product knowledge;sales,be mechanical engineering,engineer
b.sc,mechanical engineering,service,accounting skills;active listening;hardware skills;leadership;problem solving skills;good communication skills,b.sc mechanical engineering service accounting skills;active listening;hardware skills;leadership;problem solving skills;good communication skills,b.sc mechanical engineering,engineer
b.tech,chemistry,construction,civil & criminal law,b.tech chemistry construction civil & criminal law,b.tech chemistry,chemist
b.sc,civil engineering,data analytics,leadership;machine learning skills;python;sql;matlab,b.sc civil engineering data analytics leadership;machine learning skills;python;sql;matlab,b.sc civil engineering,engineer
mca,computer science engineering,technology;data analytics;all fields related to data science.,active listening;programming language skills;critical thinking;gathering information;artistic/creative skills;analytical skills;finance related skills;people management;communication skills;negotiation skills;editing;problem solving skills;risk management skills;python;sql;java;good communication skills,mca computer science engineering technology;data analytics;all fields related to data science. active listening;programming language skills;critical thinking;gathering information;artistic/creative skills;analytical skills;finance related skills;people management;communication skills;negotiation skills;editing;problem solving skills;risk management skills;python;sql;java;good communication skills,mca computer science engineering,software engineer
b.tech,computers,news coverage;research;technology;trading;understand human behaviour;understand human body,accounting skills;active listening;gathering information;analytical skills;negotiation skills;mass communication,b.tech computers news coverage;research;technology;trading;understand human behaviour;understand human body accounting skills;active listening;gathering information;analytical skills;negotiation skills;mass communication,b.tech computers,software engineer
b.com,mechanical engineering,financial analysis;research;teaching;understand human behaviour;web designing;data analytics,accounting skills;gathering information;artistic/creative skills;editing;linux,b.com mechanical engineering financial analysis;research;teaching;understand human behaviour;web designing;data analytics accounting skills;gathering information;artistic/creative skills;editing;linux,b.com mechanical engineering,engineer
b.tech,accountancy,data analytics;data scientist;machine learning;excel,critical thinking;gathering information;analytical skills;people management;communication skills;negotiation skills;problem solving skills;risk management skills;writing skills;data visualization skills( power bi/ tableau );interpersonal skills;c++;presentation skills;r;python;sql;client management;good communication skills;teaching;cad/cae(autocad/catia/ansys/proe/seimensnx);programming language c,b.tech accountancy data analytics;data scientist;machine learning;excel critical thinking;gathering information;analytical skills;people management;communication skills;negotiation skills;problem solving skills;risk management skills;writing skills;data visualization skills( power bi/ tableau );interpersonal skills;c++;presentation skills;r;python;sql;client management;good communication skills;teaching;cad/cae(autocad/catia/ansys/proe/seimensnx);programming language c,b.tech accountancy,accountant
be,mechanical engineering,teaching;technology,analytical skills;leadership;social media marketing,be mechanical engineering teaching;technology analytical skills;leadership;social media marketing,be mechanical engineering,engineer
b.e,mechanical engineering,"financial analysis, take risk for profits, trading, understand human behaviour, understand human body","accounting skills, gathering informing, business knowledge, people management, product knowledge, excel, observation skills","b.e mechanical engineering financial analysis, take risk for profits, trading, understand human behaviour, understand human body accounting skills, gathering informing, business knowledge, people management, product knowledge, excel, observation skills",b.e mechanical engineering,engineer
be,engineering,technology;web designing,programming language skills;wealth management;python,be engineering technology;web designing programming language skills;wealth management;python,be engineering,engineer
